,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
d1,0.680099,0.242599,0.060855,0.003289,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822
d2,0.018946,0.130972,0.395387,0.334432,0.09061,0.014827,0.004119,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824,0.000824
d3,0.000822,0.000822,0.001643,0.028759,0.200493,0.437141,0.243221,0.067379,0.010682,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822
d4,0.000822,0.000822,0.000822,0.000822,0.000822,0.009039,0.064092,0.267872,0.451931,0.172555,0.022186,0.001643,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822
d5,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.002479,0.009091,0.118182,0.37438,0.354545,0.121488,0.009091,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826
d6,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.002465,0.019721,0.184881,0.395234,0.287592,0.083813,0.015612,0.000822,0.000822,0.000822
d7,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.000822,0.005757,0.030428,0.231086,0.439967,0.234375,0.037007,0.010691
d8,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.000821,0.00821,0.092775,0.347291,0.538588
